ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5943251,F,Y,N,0,188500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-10207,365243,1,1,1,0,,1
5587305,M,Y,Y,0,139000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-23077,-11418,1,0,0,0,Managers,1
5889145,F,N,Y,0,231000.0,Working,Higher education,Married,House / apartment,-10950,-1299,1,0,0,0,Core staff,2
5379066,M,N,N,2,116500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23507,-7737,1,0,1,0,Core staff,3
5115771,F,N,Y,0,254000.0,Working,Secondary / secondary special,Married,House / apartment,-21264,-7299,1,0,0,0,Sales staff,2
5517431,F,N,N,0,344500.0,Working,Higher education,Married,House / apartment,-17528,-10153,1,0,1,0,Drivers,2
5265973,F,N,N,0,109500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16302,365243,1,0,1,1,,2
5675594,F,Y,Y,0,310500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20712,365243,1,1,0,0,,1
5400807,F,N,Y,0,240500.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-14239,365243,1,0,0,0,,2
5565510,F,N,N,0,61500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19308,-11145,1,0,0,0,Drivers,2
5100075,F,N,Y,0,252500.0,Working,Secondary / secondary special,Separated,House / apartment,-10408,-1179,1,0,1,0,Core staff,1
5701082,F,Y,N,0,140500.0,Working,Higher education,Married,House / apartment,-21507,-9529,1,1,1,0,Sales staff,2
5103660,F,Y,Y,0,358500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12977,-3663,1,0,0,0,Sales staff,2
5172271,F,Y,N,0,210500.0,Working,Secondary / secondary special,Married,Municipal apartment,-19589,-8378,1,0,0,0,Core staff,2
5331227,M,N,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-11677,-3577,1,0,0,0,Managers,2
5259149,M,N,N,0,154000.0,Working,Secondary / secondary special,Married,House / apartment,-20395,-9780,1,0,0,0,,2
5938626,M,Y,Y,2,171000.0,Working,Incomplete higher,Married,House / apartment,-12121,-1104,1,1,1,0,Drivers,4
5606357,F,N,N,0,232000.0,Pensioner,Higher education,Civil marriage,House / apartment,-8240,365243,1,0,1,0,,2
5990306,F,Y,Y,0,141500.0,Working,Secondary / secondary special,Married,House / apartment,-20995,-9548,1,0,1,0,Managers,2
5829829,F,N,Y,1,208000.0,Working,Secondary / secondary special,Married,House / apartment,-21253,-775,1,1,1,0,Managers,3
5875277,F,N,Y,0,200500.0,Pensioner,Higher education,Married,With parents,-22767,365243,1,0,0,0,,2
5256729,F,N,Y,0,53500.0,Commercial associate,Higher education,Married,House / apartment,-8351,-970,1,0,0,0,,2
5246895,M,Y,Y,0,474000.0,Commercial associate,Higher education,Single / not married,House / apartment,-17677,-2963,1,1,0,0,Sales staff,1
5040810,F,N,Y,0,108500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11770,-1148,1,1,0,0,Sales staff,2
5314674,M,Y,Y,0,241000.0,Pensioner,Higher education,Married,House / apartment,-9545,365243,1,0,0,0,,2
5020473,M,N,N,0,78500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17309,-3403,1,0,1,0,,2
5525060,F,Y,Y,1,146000.0,State servant,Secondary / secondary special,Married,House / apartment,-19287,-1489,1,0,1,1,Managers,3
5582946,F,N,N,0,152500.0,Working,Higher education,Married,House / apartment,-15463,-7852,1,0,1,0,Sales staff,2
5881794,M,N,Y,0,92500.0,Working,Secondary / secondary special,Married,House / apartment,-14513,-1719,1,0,1,0,Managers,2
5974158,F,N,N,0,107500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23408,-11748,1,0,1,0,,2
5422758,F,Y,Y,0,55000.0,Working,Secondary / secondary special,Married,With parents,-10761,-3234,1,0,0,0,Managers,2
5673532,F,N,Y,0,108000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20076,-12028,1,0,1,1,,1
5826660,F,N,N,0,139500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-15692,-3989,1,0,0,0,Laborers,2
5733810,F,N,Y,4,133500.0,Working,Secondary / secondary special,Married,House / apartment,-10331,-3580,1,0,1,0,,6
5837315,F,N,N,0,235500.0,Working,Secondary / secondary special,Married,House / apartment,-14207,-4289,1,0,0,0,Drivers,2
5570266,M,N,N,0,209000.0,Commercial associate,Higher education,Married,House / apartment,-17137,-8955,1,0,0,0,Accountants,2
5006298,F,Y,Y,0,141000.0,Working,Secondary / secondary special,Married,House / apartment,-15178,-1066,1,0,1,0,,2
5996135,M,N,Y,0,96000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-14934,-2397,1,0,0,0,,1
5711524,M,N,Y,0,224000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-12756,-5233,1,0,0,0,,1
5959375,F,N,N,0,67000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-19116,-11003,1,0,0,0,Core staff,2
5055070,M,N,N,0,107500.0,Working,Secondary / secondary special,Married,House / apartment,-19043,-7652,1,0,0,0,Core staff,2
5021219,F,N,Y,0,134500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8216,365243,1,0,1,0,,2
5430193,M,N,Y,1,146000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-13855,-2045,1,0,0,0,Managers,2
5992619,M,N,Y,0,79500.0,Commercial associate,Higher education,Married,House / apartment,-10082,-2877,1,0,0,0,Managers,2
5123551,M,N,Y,0,208500.0,Working,Secondary / secondary special,Married,With parents,-9505,-103,1,0,0,0,Medicine staff,2
5432316,M,Y,Y,1,266500.0,Pensioner,Higher education,Married,Co-op apartment,-21089,365243,1,0,0,0,,3
5274636,F,N,Y,2,115000.0,Working,Secondary / secondary special,Married,House / apartment,-12607,-259,1,1,0,0,Accountants,4
5115138,F,N,N,0,155500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-20170,-2262,1,0,1,0,Laborers,1
5431446,F,N,Y,0,154000.0,Working,Secondary / secondary special,Separated,House / apartment,-20436,-10960,1,0,0,0,Sales staff,1
5092660,F,N,N,0,152000.0,Working,Secondary / secondary special,Separated,House / apartment,-13235,-3769,1,0,1,0,Laborers,1
5450102,F,Y,Y,0,311500.0,Commercial associate,Higher education,Married,House / apartment,-19376,-9052,1,1,0,0,High skill tech staff,2
5348666,F,N,Y,0,534500.0,Working,Higher education,Single / not married,House / apartment,-17329,-2417,1,0,0,0,Drivers,1
5344474,F,N,N,0,81000.0,Commercial associate,Higher education,Married,House / apartment,-16214,-8183,1,0,0,0,,2
5483615,M,N,Y,0,124000.0,Pensioner,Incomplete higher,Married,House / apartment,-14595,365243,1,0,1,0,,2
5508945,M,N,Y,0,155000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18708,365243,1,1,0,0,,2
5481188,M,Y,Y,1,257500.0,Working,Secondary / secondary special,Married,House / apartment,-8189,-405,1,0,1,0,Managers,3
5441451,F,N,N,0,92000.0,Student,Secondary / secondary special,Married,House / apartment,-22770,-14351,1,1,0,1,Laborers,2
5531787,F,N,Y,0,101000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24367,-9056,1,0,0,0,,1
5556418,F,Y,Y,0,57500.0,Working,Secondary / secondary special,Separated,House / apartment,-14079,-1402,1,0,0,0,Core staff,1
5973423,F,N,N,0,185500.0,Working,Secondary / secondary special,Married,House / apartment,-12733,-290,1,0,0,0,,2
5386542,M,N,Y,2,97500.0,State servant,Secondary / secondary special,Married,House / apartment,-21926,-1570,1,0,0,0,Laborers,4
5025768,M,N,Y,0,185000.0,Working,Secondary / secondary special,Married,House / apartment,-13167,-846,1,0,1,1,Sales staff,2
5470128,M,Y,N,0,74000.0,Working,Secondary / secondary special,Married,House / apartment,-21282,-326,1,0,0,0,Laborers,2
5931864,M,Y,Y,1,281500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13010,-2836,1,0,0,1,Laborers,3
5488469,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-17818,-10143,1,0,1,0,Laborers,2
5200614,M,N,Y,1,355500.0,Working,Secondary / secondary special,Married,With parents,-9778,-526,1,0,0,1,Laborers,3
5694206,M,N,Y,1,161000.0,Working,Secondary / secondary special,Married,House / apartment,-24613,-11365,1,0,1,0,Laborers,3
5969439,M,N,Y,1,349000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18975,365243,1,1,1,0,,3
5802841,F,N,Y,0,176500.0,Working,Secondary / secondary special,Married,House / apartment,-11111,-3532,1,0,1,1,Laborers,2
5098605,F,Y,Y,0,130000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19424,-2079,1,0,1,0,,2
5303097,F,N,Y,1,56500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17882,-6555,1,0,0,0,Managers,3
5765403,F,N,Y,0,186500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19272,365243,1,1,0,0,,2
5727932,M,Y,N,0,267000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-24753,-3985,1,0,1,0,Managers,1
5519048,F,N,Y,0,81000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22427,-6194,1,0,1,1,Private service staff,2
5538356,F,N,Y,0,139500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18863,-8559,1,0,0,0,Core staff,1
5442079,M,N,N,0,118000.0,State servant,Secondary / secondary special,Separated,Office apartment,-15112,-8084,1,0,1,0,Cleaning staff,1
5421033,F,N,Y,0,93000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-14730,365243,1,1,0,1,,1
5185498,M,N,Y,1,162000.0,Pensioner,Incomplete higher,Married,House / apartment,-13622,365243,1,0,1,0,,3
5062036,M,N,N,0,318000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11725,-1113,1,0,1,0,,2
5026706,F,Y,Y,0,501000.0,Commercial associate,Higher education,Married,House / apartment,-14996,-3180,1,0,1,0,High skill tech staff,2
5178228,F,Y,N,0,268500.0,State servant,Secondary / secondary special,Married,House / apartment,-12535,-5902,1,0,1,0,Laborers,2
5265704,F,Y,Y,2,270500.0,State servant,Higher education,Married,House / apartment,-10230,-107,1,0,0,0,Laborers,4
5198493,M,N,Y,0,216500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-10131,-1153,1,1,1,0,Core staff,1
5373298,F,N,Y,0,213000.0,Commercial associate,Higher education,Married,House / apartment,-9352,-1551,1,0,0,0,Laborers,2
5836405,M,Y,Y,0,267000.0,Working,Secondary / secondary special,Married,House / apartment,-16721,-1462,1,0,0,0,,2
5160613,F,N,N,0,219000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-23011,-1347,1,0,0,0,Laborers,1
5071972,F,Y,Y,2,123500.0,Working,Secondary / secondary special,Married,House / apartment,-22743,-6922,1,0,0,0,Sales staff,4
5803048,F,N,Y,0,209000.0,Working,Secondary / secondary special,Married,House / apartment,-8464,-1440,1,0,0,0,,2
5045678,M,Y,Y,0,66000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13259,-5155,1,0,0,0,Laborers,2
5599914,F,N,N,0,302500.0,Working,Secondary / secondary special,Married,House / apartment,-21927,-8007,1,0,0,0,Sales staff,2
5352277,F,Y,Y,1,82000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-14982,365243,1,1,0,1,,3
5458903,M,N,N,0,87500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-21145,-11301,1,1,1,0,Medicine staff,2
5777379,F,Y,Y,4,170500.0,Working,Secondary / secondary special,Married,House / apartment,-23674,-1890,1,0,0,0,,6
5841962,F,N,Y,1,107500.0,Working,Secondary / secondary special,Married,House / apartment,-23249,-14643,1,0,0,0,,3
5488708,F,N,Y,2,77500.0,Working,Secondary / secondary special,Single / not married,With parents,-10031,-622,1,1,0,0,,3
