ID,MONTHS_BALANCE,STATUS
5500891,-37,X
5500891,-36,X
5500891,-35,X
5500891,-34,C
5500891,-33,C
5500891,-32,C
5500891,-31,C
5500891,-30,0
5500891,-29,X
5500891,-28,X
5500891,-27,C
5500891,-26,C
5500891,-25,X
5500891,-24,2
5500891,-23,X
5500891,-22,0
5500891,-21,C
5500891,-20,C
5500891,-19,C
5500891,-18,0
5500891,-17,X
5500891,-16,C
5500891,-15,0
5500891,-14,C
5500891,-13,C
5500891,-12,C
5500891,-11,C
5500891,-10,C
5500891,-9,X
5500891,-8,0
5500891,-7,X
5500891,-6,0
5500891,-5,0
5500891,-4,X
5500891,-3,0
5500891,-2,C
5500891,-1,C
5500891,0,C
5055399,-17,C
5055399,-16,C
5055399,-15,C
5055399,-14,C
5055399,-13,C
5055399,-12,0
5055399,-11,X
5055399,-10,C
5055399,-9,C
5055399,-8,X
5055399,-7,C
5055399,-6,C
5055399,-5,X
5055399,-4,C
5055399,-3,C
5055399,-2,X
5055399,-1,C
5055399,0,0
5135049,-22,C
5135049,-21,X
5135049,-20,0
5135049,-19,X
5135049,-18,C
5135049,-17,X
5135049,-16,X
5135049,-15,X
5135049,-14,0
5135049,-13,C
5135049,-12,0
5135049,-11,C
5135049,-10,0
5135049,-9,0
5135049,-8,1
5135049,-7,C
5135049,-6,0
5135049,-5,3
5135049,-4,C
5135049,-3,C
5135049,-2,0
5135049,-1,1
5135049,0,0
5733378,-42,1
5733378,-41,0
5733378,-40,C
5733378,-39,C
5733378,-38,C
5733378,-37,0
5733378,-36,C
5733378,-35,X
5733378,-34,0
5733378,-33,0
5733378,-32,0
5733378,-31,C
5733378,-30,0
5733378,-29,0
5733378,-28,0
5733378,-27,C
5733378,-26,C
5733378,-25,C
5733378,-24,C
5733378,-23,0
5733378,-22,C
5733378,-21,C
5733378,-20,C
5733378,-19,0
5733378,-18,X
5733378,-17,C
5733378,-16,0
5733378,-15,0
5733378,-14,C
5733378,-13,X
5733378,-12,C
5733378,-11,C
5733378,-10,C
5733378,-9,C
5733378,-8,C
5733378,-7,0
5733378,-6,0
5733378,-5,1
5733378,-4,X
5733378,-3,C
5733378,-2,C
5733378,-1,0
5733378,0,C
5732057,-17,C
5732057,-16,C
5732057,-15,C
5732057,-14,0
5732057,-13,C
5732057,-12,C
5732057,-11,C
5732057,-10,X
5732057,-9,0
5732057,-8,C
5732057,-7,0
5732057,-6,C
5732057,-5,X
5732057,-4,C
5732057,-3,C
5732057,-2,C
5732057,-1,C
5732057,0,C
5051333,-30,C
5051333,-29,0
5051333,-28,C
5051333,-27,C
5051333,-26,0
5051333,-25,C
5051333,-24,X
5051333,-23,C
5051333,-22,C
5051333,-21,C
5051333,-20,C
5051333,-19,C
5051333,-18,X
5051333,-17,C
5051333,-16,0
5051333,-15,C
5051333,-14,C
5051333,-13,X
5051333,-12,0
5051333,-11,C
5051333,-10,C
5051333,-9,0
5051333,-8,C
5051333,-7,X
5051333,-6,C
5051333,-5,X
5051333,-4,C
5051333,-3,X
5051333,-2,X
5051333,-1,X
5051333,0,X
5731479,-54,C
5731479,-53,0
5731479,-52,X
5731479,-51,C
5731479,-50,0
5731479,-49,X
5731479,-48,C
5731479,-47,X
5731479,-46,X
5731479,-45,X
5731479,-44,C
5731479,-43,X
5731479,-42,C
5731479,-41,C
5731479,-40,C
5731479,-39,C
5731479,-38,X
5731479,-37,C
5731479,-36,X
5731479,-35,0
5731479,-34,C
5731479,-33,X
5731479,-32,C
5731479,-31,C
5731479,-30,X
5731479,-29,C
5731479,-28,C
5731479,-27,C
5731479,-26,0
5731479,-25,C
5731479,-24,0
5731479,-23,X
5731479,-22,X
5731479,-21,X
5731479,-20,C
5731479,-19,1
5731479,-18,C
5731479,-17,C
5731479,-16,C
5731479,-15,C
5731479,-14,0
5731479,-13,C
5731479,-12,C
5731479,-11,X
5731479,-10,X
5731479,-9,X
5731479,-8,0
5731479,-7,C
5731479,-6,0
5731479,-5,C
5731479,-4,C
5731479,-3,C
5731479,-2,X
5731479,-1,C
5731479,0,0
5399758,-12,1
5399758,-11,C
5399758,-10,0
5399758,-9,0
5399758,-8,C
5399758,-7,X
5399758,-6,0
5399758,-5,X
5399758,-4,C
5399758,-3,3
5399758,-2,C
5399758,-1,C
5399758,0,C
5401397,-28,X
5401397,-27,X
5401397,-26,X
5401397,-25,C
5401397,-24,X
5401397,-23,0
5401397,-22,X
5401397,-21,C
5401397,-20,C
5401397,-19,C
5401397,-18,C
5401397,-17,C
5401397,-16,X
5401397,-15,0
5401397,-14,0
5401397,-13,C
5401397,-12,C
5401397,-11,C
5401397,-10,X
5401397,-9,X
5401397,-8,0
5401397,-7,C
5401397,-6,C
5401397,-5,X
5401397,-4,X
5401397,-3,0
5401397,-2,0
5401397,-1,0
5401397,0,C
5855485,-37,0
5855485,-36,0
5855485,-35,C
5855485,-34,1
5855485,-33,3
5855485,-32,0
5855485,-31,C
5855485,-30,C
5855485,-29,X
5855485,-28,X
5855485,-27,X
5855485,-26,0
5855485,-25,C
5855485,-24,X
5855485,-23,C
5855485,-22,X
5855485,-21,C
5855485,-20,C
5855485,-19,0
5855485,-18,C
5855485,-17,C
5855485,-16,C
5855485,-15,0
5855485,-14,0
5855485,-13,C
5855485,-12,C
5855485,-11,C
5855485,-10,X
5855485,-9,X
5855485,-8,C
5855485,-7,X
5855485,-6,C
5855485,-5,X
5855485,-4,C
5855485,-3,X
5855485,-2,C
5855485,-1,0
5855485,0,C
5858884,-18,C
5858884,-17,0
5858884,-16,0
5858884,-15,0
5858884,-14,C
5858884,-13,0
5858884,-12,1
5858884,-11,C
5858884,-10,0
5858884,-9,1
5858884,-8,1
5858884,-7,0
5858884,-6,0
5858884,-5,C
5858884,-4,X
5858884,-3,C
5858884,-2,0
5858884,-1,C
5858884,0,X
5503247,-46,X
5503247,-45,C
5503247,-44,C
5503247,-43,C
5503247,-42,C
5503247,-41,X
5503247,-40,C
5503247,-39,C
5503247,-38,C
5503247,-37,C
5503247,-36,X
5503247,-35,X
5503247,-34,C
5503247,-33,C
5503247,-32,C
5503247,-31,C
5503247,-30,C
5503247,-29,C
5503247,-28,C
5503247,-27,C
5503247,-26,X
5503247,-25,0
5503247,-24,C
5503247,-23,C
5503247,-22,0
5503247,-21,C
5503247,-20,C
5503247,-19,X
5503247,-18,X
5503247,-17,X
5503247,-16,C
5503247,-15,C
5503247,-14,X
5503247,-13,C
5503247,-12,C
5503247,-11,0
5503247,-10,C
5503247,-9,C
5503247,-8,X
5503247,-7,X
5503247,-6,C
5503247,-5,C
5503247,-4,X
5503247,-3,C
5503247,-2,0
5503247,-1,X
5503247,0,C
5864741,-40,X
5864741,-39,C
5864741,-38,C
5864741,-37,1
5864741,-36,C
5864741,-35,C
5864741,-34,C
5864741,-33,C
5864741,-32,0
5864741,-31,0
5864741,-30,C
5864741,-29,0
5864741,-28,X
5864741,-27,0
5864741,-26,0
5864741,-25,X
5864741,-24,X
5864741,-23,X
5864741,-22,C
5864741,-21,C
5864741,-20,C
5864741,-19,0
5864741,-18,C
5864741,-17,X
5864741,-16,0
5864741,-15,0
5864741,-14,C
5864741,-13,1
5864741,-12,C
5864741,-11,C
5864741,-10,0
5864741,-9,0
5864741,-8,0
5864741,-7,X
5864741,-6,X
5864741,-5,C
5864741,-4,0
5864741,-3,C
5864741,-2,C
5864741,-1,0
5864741,0,C
5035032,-53,0
5035032,-52,1
5035032,-51,C
5035032,-50,C
5035032,-49,C
5035032,-48,X
5035032,-47,X
5035032,-46,C
5035032,-45,2
5035032,-44,0
5035032,-43,X
5035032,-42,0
5035032,-41,C
5035032,-40,C
5035032,-39,0
5035032,-38,0
5035032,-37,C
5035032,-36,0
5035032,-35,0
5035032,-34,0
5035032,-33,0
5035032,-32,0
5035032,-31,X
5035032,-30,C
5035032,-29,1
5035032,-28,C
5035032,-27,0
5035032,-26,1
5035032,-25,2
5035032,-24,0
5035032,-23,X
5035032,-22,2
5035032,-21,X
5035032,-20,0
5035032,-19,2
5035032,-18,0
5035032,-17,2
5035032,-16,0
5035032,-15,X
5035032,-14,C
5035032,-13,0
5035032,-12,5
5035032,-11,C
5035032,-10,X
5035032,-9,C
5035032,-8,0
5035032,-7,0
5035032,-6,0
5035032,-5,2
5035032,-4,C
5035032,-3,0
5035032,-2,C
5035032,-1,2
5035032,0,C
5995703,-28,C
5995703,-27,X
5995703,-26,0
5995703,-25,4
5995703,-24,X
5995703,-23,0
5995703,-22,1
5995703,-21,C
5995703,-20,3
5995703,-19,C
5995703,-18,0
5995703,-17,0
5995703,-16,C
5995703,-15,0
5995703,-14,0
5995703,-13,C
5995703,-12,C
5995703,-11,2
5995703,-10,X
5995703,-9,0
5995703,-8,4
5995703,-7,2
5995703,-6,C
5995703,-5,C
5995703,-4,X
5995703,-3,0
5995703,-2,0
5995703,-1,C
5995703,0,0
5376761,-55,0
5376761,-54,C
5376761,-53,C
5376761,-52,0
5376761,-51,C
5376761,-50,C
5376761,-49,C
5376761,-48,C
5376761,-47,C
5376761,-46,C
5376761,-45,0
5376761,-44,X
5376761,-43,0
5376761,-42,C
5376761,-41,X
5376761,-40,C
5376761,-39,C
5376761,-38,C
5376761,-37,C
5376761,-36,0
5376761,-35,C
5376761,-34,C
5376761,-33,C
5376761,-32,X
5376761,-31,0
5376761,-30,0
5376761,-29,0
5376761,-28,X
5376761,-27,C
5376761,-26,0
5376761,-25,C
5376761,-24,C
5376761,-23,C
5376761,-22,0
5376761,-21,C
5376761,-20,X
5376761,-19,C
5376761,-18,C
5376761,-17,C
5376761,-16,0
5376761,-15,C
5376761,-14,C
5376761,-13,C
5376761,-12,C
5376761,-11,X
5376761,-10,0
5376761,-9,0
5376761,-8,C
5376761,-7,0
5376761,-6,C
5376761,-5,C
5376761,-4,C
5376761,-3,C
5376761,-2,C
5376761,-1,C
5376761,0,0
5811353,-29,0
5811353,-28,C
5811353,-27,0
5811353,-26,X
5811353,-25,0
5811353,-24,0
5811353,-23,0
5811353,-22,C
5811353,-21,C
5811353,-20,0
5811353,-19,2
5811353,-18,X
5811353,-17,C
5811353,-16,C
5811353,-15,C
5811353,-14,C
5811353,-13,0
5811353,-12,0
5811353,-11,X
5811353,-10,C
5811353,-9,1
5811353,-8,0
5811353,-7,0
5811353,-6,C
5811353,-5,C
5811353,-4,X
5811353,-3,0
5811353,-2,0
5811353,-1,X
5811353,0,X
5577745,-15,C
5577745,-14,X
5577745,-13,C
5577745,-12,X
5577745,-11,C
5577745,-10,C
5577745,-9,C
5577745,-8,C
5577745,-7,X
5577745,-6,C
5577745,-5,C
5577745,-4,C
5577745,-3,C
5577745,-2,0
5577745,-1,C
5577745,0,C
5659806,-38,C
5659806,-37,C
5659806,-36,C
5659806,-35,0
5659806,-34,C
5659806,-33,0
5659806,-32,C
5659806,-31,C
5659806,-30,C
5659806,-29,X
5659806,-28,C
5659806,-27,C
5659806,-26,C
5659806,-25,C
5659806,-24,X
5659806,-23,0
5659806,-22,C
5659806,-21,X
5659806,-20,0
5659806,-19,X
5659806,-18,C
5659806,-17,C
5659806,-16,C
5659806,-15,C
5659806,-14,C
5659806,-13,X
5659806,-12,C
5659806,-11,C
5659806,-10,1
5659806,-9,C
5659806,-8,C
5659806,-7,X
5659806,-6,C
5659806,-5,C
5659806,-4,C
5659806,-3,X
5659806,-2,C
5659806,-1,C
5659806,0,C
5219339,-34,X
5219339,-33,0
5219339,-32,3
5219339,-31,0
5219339,-30,0
5219339,-29,0
5219339,-28,C
5219339,-27,X
5219339,-26,0
5219339,-25,C
5219339,-24,0
5219339,-23,1
5219339,-22,1
5219339,-21,0
5219339,-20,0
5219339,-19,0
5219339,-18,X
5219339,-17,1
5219339,-16,C
5219339,-15,0
5219339,-14,X
5219339,-13,0
5219339,-12,4
5219339,-11,X
5219339,-10,0
5219339,-9,C
5219339,-8,1
5219339,-7,X
5219339,-6,C
5219339,-5,1
5219339,-4,X
5219339,-3,C
5219339,-2,C
5219339,-1,1
5219339,0,1
5979755,-20,0
5979755,-19,0
5979755,-18,C
5979755,-17,1
5979755,-16,0
5979755,-15,3
5979755,-14,0
5979755,-13,0
5979755,-12,C
5979755,-11,0
5979755,-10,C
5979755,-9,0
5979755,-8,0
5979755,-7,C
5979755,-6,X
5979755,-5,X
5979755,-4,0
5979755,-3,0
5979755,-2,C
5979755,-1,3
5979755,0,0
5625691,-55,C
5625691,-54,C
5625691,-53,X
5625691,-52,C
5625691,-51,C
5625691,-50,X
5625691,-49,C
5625691,-48,C
5625691,-47,X
5625691,-46,X
5625691,-45,C
5625691,-44,X
5625691,-43,0
5625691,-42,X
5625691,-41,C
5625691,-40,C
5625691,-39,C
5625691,-38,C
5625691,-37,C
5625691,-36,C
5625691,-35,C
5625691,-34,C
5625691,-33,0
5625691,-32,X
5625691,-31,C
5625691,-30,X
5625691,-29,0
5625691,-28,0
5625691,-27,X
5625691,-26,C
5625691,-25,C
5625691,-24,X
5625691,-23,C
5625691,-22,C
5625691,-21,C
5625691,-20,C
5625691,-19,C
5625691,-18,X
5625691,-17,C
5625691,-16,X
5625691,-15,0
5625691,-14,X
5625691,-13,X
5625691,-12,C
5625691,-11,X
5625691,-10,C
5625691,-9,X
5625691,-8,X
5625691,-7,C
5625691,-6,C
5625691,-5,C
5625691,-4,0
5625691,-3,0
5625691,-2,X
5625691,-1,0
5625691,0,0
5215339,-17,0
5215339,-16,C
5215339,-15,0
5215339,-14,C
5215339,-13,0
5215339,-12,X
5215339,-11,C
5215339,-10,C
5215339,-9,C
5215339,-8,1
5215339,-7,0
5215339,-6,0
5215339,-5,X
5215339,-4,C
5215339,-3,0
5215339,-2,X
5215339,-1,X
5215339,0,C
5443417,-12,C
5443417,-11,X
5443417,-10,0
5443417,-9,2
5443417,-8,C
5443417,-7,2
5443417,-6,C
5443417,-5,X
5443417,-4,1
5443417,-3,C
5443417,-2,C
5443417,-1,0
5443417,0,C
5980328,-25,2
5980328,-24,X
5980328,-23,1
5980328,-22,0
5980328,-21,C
5980328,-20,C
5980328,-19,2
5980328,-18,X
5980328,-17,3
5980328,-16,0
5980328,-15,X
5980328,-14,2
5980328,-13,0
5980328,-12,X
5980328,-11,0
5980328,-10,1
5980328,-9,1
5980328,-8,0
5980328,-7,C
5980328,-6,C
5980328,-5,0
5980328,-4,0
5980328,-3,0
5980328,-2,0
5980328,-1,5
5980328,0,3
5336983,-39,0
5336983,-38,C
5336983,-37,0
5336983,-36,0
5336983,-35,C
5336983,-34,X
5336983,-33,C
5336983,-32,C
5336983,-31,C
5336983,-30,0
5336983,-29,0
5336983,-28,0
5336983,-27,C
5336983,-26,0
5336983,-25,X
5336983,-24,2
5336983,-23,X
5336983,-22,C
5336983,-21,C
5336983,-20,0
5336983,-19,0
5336983,-18,X
5336983,-17,0
5336983,-16,C
5336983,-15,0
5336983,-14,C
5336983,-13,C
5336983,-12,C
5336983,-11,0
5336983,-10,C
5336983,-9,0
5336983,-8,C
5336983,-7,0
5336983,-6,0
5336983,-5,C
5336983,-4,C
5336983,-3,0
5336983,-2,0
5336983,-1,C
5336983,0,C
5518812,-52,0
5518812,-51,X
5518812,-50,C
5518812,-49,C
5518812,-48,X
5518812,-47,C
5518812,-46,0
5518812,-45,C
5518812,-44,C
5518812,-43,0
5518812,-42,X
5518812,-41,0
5518812,-40,X
5518812,-39,C
5518812,-38,C
5518812,-37,C
5518812,-36,X
5518812,-35,X
5518812,-34,X
5518812,-33,0
5518812,-32,0
5518812,-31,0
5518812,-30,C
5518812,-29,C
5518812,-28,X
5518812,-27,C
5518812,-26,0
5518812,-25,C
5518812,-24,X
5518812,-23,C
5518812,-22,0
5518812,-21,0
5518812,-20,C
5518812,-19,C
5518812,-18,X
5518812,-17,X
5518812,-16,X
5518812,-15,C
5518812,-14,C
5518812,-13,C
5518812,-12,0
5518812,-11,C
5518812,-10,C
5518812,-9,C
5518812,-8,C
5518812,-7,C
5518812,-6,X
5518812,-5,C
5518812,-4,X
5518812,-3,C
5518812,-2,X
5518812,-1,X
5518812,0,C
5943378,-34,X
5943378,-33,C
5943378,-32,X
5943378,-31,1
5943378,-30,C
5943378,-29,3
5943378,-28,C
5943378,-27,X
5943378,-26,1
5943378,-25,0
5943378,-24,C
5943378,-23,X
5943378,-22,0
5943378,-21,X
5943378,-20,C
5943378,-19,0
5943378,-18,X
5943378,-17,0
5943378,-16,X
5943378,-15,1
5943378,-14,0
5943378,-13,X
5943378,-12,C
5943378,-11,X
5943378,-10,0
5943378,-9,4
5943378,-8,4
5943378,-7,C
5943378,-6,1
5943378,-5,3
5943378,-4,1
5943378,-3,C
5943378,-2,1
5943378,-1,X
5943378,0,2
5002085,-24,0
5002085,-23,0
5002085,-22,0
5002085,-21,C
5002085,-20,C
5002085,-19,0
5002085,-18,X
5002085,-17,C
5002085,-16,C
5002085,-15,X
5002085,-14,0
5002085,-13,C
5002085,-12,C
5002085,-11,X
5002085,-10,X
5002085,-9,0
5002085,-8,C
5002085,-7,C
5002085,-6,C
5002085,-5,X
5002085,-4,C
5002085,-3,1
5002085,-2,C
5002085,-1,C
5002085,0,C
5663615,-9,C
5663615,-8,C
5663615,-7,X
5663615,-6,C
5663615,-5,X
5663615,-4,X
5663615,-3,C
5663615,-2,C
5663615,-1,C
5663615,0,C
5677814,-6,C
5677814,-5,C
5677814,-4,X
5677814,-3,0
5677814,-2,C
5677814,-1,C
5677814,0,0
5957737,-19,X
5957737,-18,C
5957737,-17,1
5957737,-16,0
5957737,-15,C
5957737,-14,C
5957737,-13,C
5957737,-12,0
5957737,-11,C
5957737,-10,0
5957737,-9,X
5957737,-8,0
5957737,-7,C
5957737,-6,X
5957737,-5,X
5957737,-4,C
5957737,-3,0
5957737,-2,X
5957737,-1,C
5957737,0,X
5543082,-39,X
5543082,-38,X
5543082,-37,C
5543082,-36,C
5543082,-35,0
5543082,-34,0
5543082,-33,X
5543082,-32,0
5543082,-31,C
5543082,-30,C
5543082,-29,C
5543082,-28,C
5543082,-27,C
5543082,-26,X
5543082,-25,0
5543082,-24,0
5543082,-23,C
5543082,-22,0
5543082,-21,X
5543082,-20,1
5543082,-19,0
5543082,-18,C
5543082,-17,0
5543082,-16,0
5543082,-15,1
5543082,-14,0
5543082,-13,1
5543082,-12,0
5543082,-11,X
5543082,-10,C
5543082,-9,0
5543082,-8,0
5543082,-7,X
5543082,-6,1
5543082,-5,X
5543082,-4,C
5543082,-3,0
5543082,-2,X
5543082,-1,0
5543082,0,C
5529927,-40,C
5529927,-39,0
5529927,-38,X
5529927,-37,X
5529927,-36,C
5529927,-35,C
5529927,-34,C
5529927,-33,X
5529927,-32,C
5529927,-31,C
5529927,-30,C
5529927,-29,X
5529927,-28,C
5529927,-27,X
5529927,-26,X
5529927,-25,X
5529927,-24,C
5529927,-23,X
5529927,-22,C
5529927,-21,C
5529927,-20,C
5529927,-19,0
5529927,-18,C
5529927,-17,X
5529927,-16,0
5529927,-15,C
5529927,-14,X
5529927,-13,C
5529927,-12,C
5529927,-11,X
5529927,-10,C
5529927,-9,C
5529927,-8,X
5529927,-7,C
5529927,-6,X
5529927,-5,C
5529927,-4,C
5529927,-3,C
5529927,-2,0
5529927,-1,C
5529927,0,C
5066336,-10,C
5066336,-9,C
5066336,-8,X
5066336,-7,C
5066336,-6,C
5066336,-5,X
5066336,-4,X
5066336,-3,C
5066336,-2,X
5066336,-1,C
5066336,0,C
5272966,-48,C
5272966,-47,C
5272966,-46,0
5272966,-45,C
5272966,-44,C
5272966,-43,C
5272966,-42,0
5272966,-41,C
5272966,-40,C
5272966,-39,C
5272966,-38,0
5272966,-37,C
5272966,-36,X
5272966,-35,C
5272966,-34,0
5272966,-33,C
5272966,-32,X
5272966,-31,X
5272966,-30,C
5272966,-29,X
5272966,-28,C
5272966,-27,C
5272966,-26,0
5272966,-25,C
5272966,-24,C
5272966,-23,C
5272966,-22,X
5272966,-21,C
5272966,-20,0
5272966,-19,C
5272966,-18,C
5272966,-17,C
5272966,-16,C
5272966,-15,C
5272966,-14,0
5272966,-13,X
5272966,-12,X
5272966,-11,C
5272966,-10,C
5272966,-9,C
5272966,-8,C
5272966,-7,X
5272966,-6,C
5272966,-5,X
5272966,-4,C
5272966,-3,C
5272966,-2,0
5272966,-1,C
5272966,0,0
5876375,-12,0
5876375,-11,X
5876375,-10,C
5876375,-9,0
5876375,-8,C
5876375,-7,C
5876375,-6,1
5876375,-5,C
5876375,-4,0
5876375,-3,C
5876375,-2,0
5876375,-1,C
5876375,0,C
5443181,-30,0
5443181,-29,0
5443181,-28,0
5443181,-27,C
5443181,-26,1
5443181,-25,1
5443181,-24,0
5443181,-23,0
5443181,-22,C
5443181,-21,0
5443181,-20,0
5443181,-19,C
5443181,-18,X
5443181,-17,0
5443181,-16,X
5443181,-15,0
5443181,-14,C
5443181,-13,C
5443181,-12,C
5443181,-11,X
5443181,-10,X
5443181,-9,0
5443181,-8,2
5443181,-7,X
5443181,-6,0
5443181,-5,1
5443181,-4,C
5443181,-3,C
5443181,-2,0
5443181,-1,0
5443181,0,C
5038747,-45,C
5038747,-44,C
5038747,-43,C
5038747,-42,C
5038747,-41,C
5038747,-40,0
5038747,-39,X
5038747,-38,0
5038747,-37,C
5038747,-36,X
5038747,-35,0
5038747,-34,C
5038747,-33,0
5038747,-32,C
5038747,-31,C
5038747,-30,X
5038747,-29,0
5038747,-28,C
5038747,-27,C
5038747,-26,C
5038747,-25,C
5038747,-24,X
5038747,-23,0
5038747,-22,C
5038747,-21,C
5038747,-20,C
5038747,-19,C
5038747,-18,0
5038747,-17,X
5038747,-16,C
5038747,-15,C
5038747,-14,C
5038747,-13,C
5038747,-12,C
5038747,-11,C
5038747,-10,C
5038747,-9,C
5038747,-8,X
5038747,-7,0
5038747,-6,C
5038747,-5,0
5038747,-4,C
5038747,-3,0
5038747,-2,C
5038747,-1,0
5038747,0,0
5244518,-14,X
5244518,-13,1
5244518,-12,3
5244518,-11,0
5244518,-10,C
5244518,-9,1
5244518,-8,3
5244518,-7,C
5244518,-6,0
5244518,-5,X
5244518,-4,0
5244518,-3,C
5244518,-2,1
5244518,-1,C
5244518,0,0
5321941,-25,C
5321941,-24,0
5321941,-23,0
5321941,-22,C
5321941,-21,X
5321941,-20,C
5321941,-19,C
5321941,-18,0
5321941,-17,C
5321941,-16,X
5321941,-15,X
5321941,-14,C
5321941,-13,C
5321941,-12,C
5321941,-11,0
5321941,-10,C
5321941,-9,C
5321941,-8,C
5321941,-7,C
5321941,-6,0
5321941,-5,C
5321941,-4,C
5321941,-3,1
5321941,-2,X
5321941,-1,C
5321941,0,C
5212423,-39,X
5212423,-38,C
5212423,-37,0
5212423,-36,C
5212423,-35,C
5212423,-34,C
5212423,-33,C
5212423,-32,C
5212423,-31,0
5212423,-30,C
5212423,-29,0
5212423,-28,C
5212423,-27,0
5212423,-26,C
5212423,-25,0
5212423,-24,C
5212423,-23,0
5212423,-22,C
5212423,-21,C
5212423,-20,C
5212423,-19,C
5212423,-18,C
5212423,-17,C
5212423,-16,C
5212423,-15,C
5212423,-14,C
5212423,-13,C
5212423,-12,C
5212423,-11,C
5212423,-10,X
5212423,-9,C
5212423,-8,0
5212423,-7,0
5212423,-6,X
5212423,-5,C
5212423,-4,C
5212423,-3,X
5212423,-2,C
5212423,-1,C
5212423,0,X
5684487,-5,0
5684487,-4,0
5684487,-3,0
5684487,-2,0
5684487,-1,C
5684487,0,C
5460021,-57,C
5460021,-56,C
5460021,-55,X
5460021,-54,C
5460021,-53,X
5460021,-52,C
5460021,-51,C
5460021,-50,C
5460021,-49,C
5460021,-48,X
5460021,-47,C
5460021,-46,C
5460021,-45,C
5460021,-44,C
5460021,-43,C
5460021,-42,X
5460021,-41,0
5460021,-40,X
5460021,-39,C
5460021,-38,X
5460021,-37,0
5460021,-36,C
5460021,-35,0
5460021,-34,X
5460021,-33,X
5460021,-32,C
5460021,-31,C
5460021,-30,C
5460021,-29,C
5460021,-28,C
5460021,-27,C
5460021,-26,C
5460021,-25,0
5460021,-24,C
5460021,-23,C
5460021,-22,C
5460021,-21,C
5460021,-20,C
5460021,-19,C
5460021,-18,X
5460021,-17,C
5460021,-16,C
5460021,-15,C
5460021,-14,C
5460021,-13,C
5460021,-12,0
5460021,-11,C
5460021,-10,C
5460021,-9,C
5460021,-8,C
5460021,-7,C
5460021,-6,C
5460021,-5,X
5460021,-4,C
5460021,-3,X
5460021,-2,X
5460021,-1,C
5460021,0,C
5330797,-21,C
5330797,-20,0
5330797,-19,0
5330797,-18,C
5330797,-17,0
5330797,-16,C
5330797,-15,0
5330797,-14,0
5330797,-13,C
5330797,-12,X
5330797,-11,C
5330797,-10,0
5330797,-9,C
5330797,-8,0
5330797,-7,2
5330797,-6,C
5330797,-5,C
5330797,-4,C
5330797,-3,X
5330797,-2,X
5330797,-1,X
5330797,0,1
5820287,-44,X
5820287,-43,0
5820287,-42,C
5820287,-41,0
5820287,-40,X
5820287,-39,X
5820287,-38,C
5820287,-37,0
5820287,-36,X
5820287,-35,0
5820287,-34,0
5820287,-33,1
5820287,-32,0
5820287,-31,C
5820287,-30,C
5820287,-29,C
5820287,-28,X
5820287,-27,C
5820287,-26,X
5820287,-25,0
5820287,-24,C
5820287,-23,C
5820287,-22,0
5820287,-21,0
5820287,-20,C
5820287,-19,C
5820287,-18,1
5820287,-17,X
5820287,-16,X
5820287,-15,3
5820287,-14,0
5820287,-13,0
5820287,-12,C
5820287,-11,C
5820287,-10,C
5820287,-9,0
5820287,-8,C
5820287,-7,0
5820287,-6,C
5820287,-5,X
5820287,-4,0
5820287,-3,C
5820287,-2,0
5820287,-1,X
5820287,0,C
5934968,-59,C
